"source","url","year","file"
Metacrict, https://www.metacritic.com/browse/games/score/metascore/all/all/filtered, 2020, metacrict-2020.csv
Opencrict, https://opencritic.com/browse/all, 2020, opencrict-2020.csv
IGN, https://www.ign.com/lists/top-100-games, 2019, ign-2019-games.csv
Time Magazine, https://time.com/4458554/best-video-games-all-time/, 2016, time-magazine.csv
Popular Mechanics, https://www.popularmechanics.com/culture/gaming/g134/the-100-greatest-video-games-of-all-time/, 2019, popular-mechanics.csv
Slant Magazine, https://www.slantmagazine.com/games/the-100-best-video-games-of-all-time/, 2020, slant-magazine.csv
Game Designing, https://www.gamedesigning.org/popular-video-games/, 2020, game-designing.csv
Esquire, https://www.esquire.com/lifestyle/g26572573/best-video-games-ranked/, 2020, esquire.csv
Polygon, https://www.polygon.com/features/2017/12/1/16707720/the-500-best-games-of-all-time-100-1, 2017, polygon.csv
Hiconsumption, https://hiconsumption.com/best-video-games-of-all-time/, 2019, hiconsumption.csv
The Age, https://www.theage.com.au/technology/the-50-best-games-20051006-gdm6uh.html, 2005, theage.csv